"rank","usps","pop2020","pop2010","change","density","aland"
"1","NY","8323340","8190360","0.0162","10698.6142","777983000"
"2","CA","4015940","3795370","0.0581","3306.4162","1214590000"
"3","IL","2694240","2697530","-0.0012","4575.1780","588882000"
"4","TX","2340890","2098450","0.1155","1411.7991","1658090000"
"5","AZ","1703080","1449300","0.1751","1270.2253","1340770000"
"6","PA","1591800","1528290","0.0416","4577.0051","347782000"
"7","TX","1578030","1332880","0.1839","1255.9533","1256440000"
"8","CA","1447100","1305970","0.1081","1714.5369","844018000"
"9","TX","1382270","1200370","0.1515","1570.9202","879911000"
"10","CA","1033670","954492","0.0830","2244.5665","460521000"
"11","TX","988218","806423","0.2254","1192.5811","828638000"
"12","TX","932116","748481","0.2453","1041.4017","895059000"
"13","FL","926371","823123","0.1254","478.5147","1935930000"
"14","OH","922223","790935","0.1660","1624.4385","567718000"
"15","NC","905318","738534","0.2258","1137.7001","795744000"
"16","CA","896047","805550","0.1123","7376.2080","121478000"
"17","IN","875929","821555","0.0662","935.3569","936465000"
"18","WA","783137","610639","0.2825","3605.5865","217201000"
"19","CO","734134","603354","0.2168","1849.0876","397025000"
"20","DC","720687","605085","0.1911","4551.5157","158340000"
"21","MA","710195","621074","0.1435","5672.6200","125197000"
"22","TX","685575","650708","0.0536","1028.2879","666715000"
"23","TN","673167","604587","0.1134","546.5571","1231650000"
"24","MI","667272","711120","-0.0617","1857.3047","359269000"
"25","OR","664103","585436","0.1344","1921.8279","345558000"
"26","NV","662000","584606","0.1324","1802.9550","367175000"
"27","OK","655407","582285","0.1256","417.2760","1570680000"
"28","TN","647374","652309","-0.0076","787.6075","821950000"
"29","KY","624890","596155","0.0482","915.8702","682291000"
"30","MD","590479","621005","-0.0492","2816.4855","209651000"
"31","WI","585589","594881","-0.0156","2350.6774","249115000"
"32","NM","561188","546806","0.0263","1157.3679","484883000"
"33","AZ","553871","527167","0.0507","898.4790","616454000"
"34","CA","538195","497721","0.0813","1811.2750","297136000"
"35","AZ","527666","440995","0.1965","1475.4152","357639000"
"36","GA","523738","429193","0.2203","1489.7670","351557000"
"37","CA","521769","467302","0.1166","2061.3585","253119000"
"38","MO","505198","460737","0.0965","619.4560","815551000"
"39","FL","486388","400841","0.2134","5217.0481","93230500"
"40","CO","485946","420544","0.1555","962.1798","505047000"
"41","NC","481958","406355","0.1861","1275.5476","377844000"
"42","NE","470702","450887","0.0439","1289.0859","365144000"
"43","CA","463218","462440","0.0017","3527.8823","131302000"
"44","VA","447841","438855","0.0205","706.5644","633829000"
"45","MN","437069","383067","0.1410","3125.0912","139858000"
"46","CA","435224","391449","0.1118","3006.4588","144763000"
"47","FL","413704","337062","0.2274","1400.9522","295302000"
"48","TX","402762","366136","0.1000","1623.6017","248067000"
"49","OK","396543","392421","0.0105","775.3082","511465000"
"50","CA","390233","349408","0.1168","1006.0897","387871000"
"51","LA","390128","347770","0.1218","889.0165","438831000"
"52","KS","388771","382726","0.0158","928.5104","418704000"
"53","CO","382742","326073","0.1738","957.9039","399562000"
"54","OH","379233","395890","-0.0421","1884.6030","201227000"
"55","CA","352911","337106","0.0469","2707.8471","130329000"
"56","HI","342933","339143","0.0112","2186.9751","156807000"
"57","CA","336285","305568","0.1005","1597.8723","210458000"
"58","PR","331165","381931","-0.1329","3234.3175","102391000"
"59","CA","330389","325340","0.0155","4662.2507","70864700"
"60","NV","330084","257532","0.2817","1201.3976","274750000"
"61","KY","328690","296847","0.1073","447.4310","734616000"
"62","TX","325406","305281","0.0659","786.7079","413630000"
"63","CA","316996","292446","0.0839","1968.6013","161026000"
"64","MN","311895","285465","0.0926","2316.8204","134622000"
"65","OH","306487","296837","0.0325","1520.3181","201594000"
"66","CA","303956","213392","0.4244","1788.4709","169953000"
"67","NC","299946","269587","0.1126","897.2790","334284000"
"68","PA","294860","305410","-0.0345","2055.8623","143424000"
"69","NE","293905","259261","0.1336","1179.3136","249217000"
"70","MO","293792","319318","-0.0799","1837.1760","159915000"
"71","FL","291739","239308","0.2191","1018.8339","286346000"
"72","TX","288539","261222","0.1046","1554.1593","185656000"
"73","AK","285634","293310","-0.0262","64.6145","4420590000"
"74","NJ","282862","277158","0.0206","4523.5194","62531400"
"75","NC","282737","230710","0.2255","972.7748","290650000"
"76","CA","277289","244656","0.1334","2156.7330","128569000"
"77","FL","271842","245226","0.1085","1696.5949","160228000"
"78","NJ","271099","248363","0.0915","7099.5087","38185600"
"79","IN","270989","254162","0.0662","945.7085","286546000"
"80","OH","270651","287030","-0.0571","1298.3043","208465000"
"81","AZ","268675","236479","0.1361","1592.9127","168669000"
"82","TX","264703","236859","0.1176","966.5173","273873000"
"83","WI","264030","233716","0.1297","1284.9051","205486000"
"84","AZ","262222","217615","0.2050","550.2796","476525000"
"85","TX","260823","230796","0.1301","747.4916","348931000"
"86","NV","260258","225750","0.1529","924.0607","281646000"
"87","AZ","258935","209435","0.2364","1460.0390","177348000"
"88","NY","255244","261301","-0.0232","2440.7045","104578000"
"89","AZ","254500","226168","0.1253","1595.3812","159523000"
"90","NV","253923","216843","0.1710","1000.2521","253859000"
"91","NC","251762","230033","0.0945","732.9977","343469000"
"92","VA","248106","223550","0.1098","282.9876","876738000"
"93","TX","246627","227355","0.0848","1668.8455","147783000"
"94","TX","243738","216867","0.1239","1403.3417","173684000"
"95","FL","243208","225460","0.0787","4351.1039","55895700"
"96","VA","242234","242998","-0.0031","1755.5605","137981000"
"97","CA","239525","214561","0.1163","1193.8465","200633000"
"98","ID","234576","209578","0.1193","1082.4220","216714000"
"99","NV","233689","223167","0.0471","1930.7556","121035000"
"100","VA","232055","204256","0.1361","1495.1997","155200000"
"101","VA","231803","207627","0.1164","3442.6359","67333000"
"102","WA","223266","209523","0.0656","1253.6977","178086000"
"103","WA","222603","198227","0.1230","1727.2650","128876000"
"104","CA","218758","203314","0.0760","1965.3218","111309000"
"105","CA","218573","197342","0.1076","1959.3295","111555000"
