City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019.00,delta_19_10,delta_19_15,delta_15_10,first_half_inc,second_half_inc,decade_inc,max_yoy_growth,min_yoy_growth
New York, New York,8190209.00,8272948.00,8346693.00,8396091.00,8433806.00,8463049.00,8469153.00,8437478.00,8390081.00,8336817.00,0.02,-0.01,0.03,1,0,1,0.0101,-0.0063
Los Angeles, California,3795512.00,3820876.00,3851202.00,3881622.00,3909901.00,3938568.00,3963226.00,3975788.00,3977596.00,3979576.00,0.05,0.01,0.04,1,1,1,0.0079,0.0005
Chicago, Illinois,2697477.00,2708114.00,2719141.00,2725731.00,2727066.00,2724344.00,2716723.00,2711069.00,2701423.00,2693976.00,0.00,-0.01,0.01,1,0,0,0.0041,-0.0036
Houston, Texas,2100280.00,2126032.00,2161593.00,2199391.00,2241826.00,2286908.00,2309544.00,2316750.00,2318573.00,2320268.00,0.10,0.01,0.09,1,1,1,0.0201,0.0007
Phoenix, Arizona,1449038.00,1469796.00,1499274.00,1526491.00,1555445.00,1583690.00,1612199.00,1633560.00,1654675.00,1680992.00,0.16,0.06,0.09,1,1,1,0.0201,0.0129
Philadelphia, Pennsylvania,1528283.00,1540466.00,1551824.00,1558313.00,1565460.00,1571065.00,1576051.00,1580601.00,1583592.00,1584064.00,0.04,0.01,0.03,1,1,1,0.0080,0.0003
San Antonio, Texas,1332299.00,1357120.00,1383075.00,1408339.00,1435456.00,1464043.00,1487843.00,1511154.00,1530016.00,1547253.00,0.16,0.06,0.10,1,1,1,0.0199,0.0113
San Diego, California,1305906.00,1319592.00,1336776.00,1355320.00,1375831.00,1387323.00,1402089.00,1412621.00,1421917.00,1423851.00,0.09,0.03,0.06,1,1,1,0.0151,0.0014
Dallas, Texas,1200350.00,1218282.00,1242115.00,1258835.00,1279098.00,1301329.00,1323916.00,1342479.00,1341802.00,1343573.00,0.12,0.03,0.08,1,1,1,0.0196,-0.0005
San Jose, California,954940.00,970369.00,983530.00,1001279.00,1014273.00,1025980.00,1030242.00,1032335.00,1028020.00,1021795.00,0.07,0.00,0.07,1,0,1,0.0180,-0.0061
