,City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019.00,delta_19_10,delta_19_15,delta_15_10,first_half_inc,second_half_inc,decade_inc,max_yoy_growth,min_yoy_growth
0,New York, New York,8190209.0,8272948.0,8346693.0,8396091.0,8433806.0,8463049.0,8469153.0,8437478.0,8390081.0,8336817.0,0.02,-0.01,0.03,1,0,1,0.0101,-0.0063
1,Los Angeles, California,3795512.0,3820876.0,3851202.0,3881622.0,3909901.0,3938568.0,3963226.0,3975788.0,3977596.0,3979576.0,0.05,0.01,0.04,1,1,1,0.0079,0.0005
2,Chicago, Illinois,2697477.0,2708114.0,2719141.0,2725731.0,2727066.0,2724344.0,2716723.0,2711069.0,2701423.0,2693976.0,0.0,-0.01,0.01,1,0,0,0.0041,-0.0036
3,Houston, Texas,2100280.0,2126032.0,2161593.0,2199391.0,2241826.0,2286908.0,2309544.0,2316750.0,2318573.0,2320268.0,0.1,0.01,0.09,1,1,1,0.0201,0.0007
4,Phoenix, Arizona,1449038.0,1469796.0,1499274.0,1526491.0,1555445.0,1583690.0,1612199.0,1633560.0,1654675.0,1680992.0,0.16,0.06,0.09,1,1,1,0.0201,0.0129
5,Philadelphia, Pennsylvania,1528283.0,1540466.0,1551824.0,1558313.0,1565460.0,1571065.0,1576051.0,1580601.0,1583592.0,1584064.0,0.04,0.01,0.03,1,1,1,0.008,0.0003
6,San Antonio, Texas,1332299.0,1357120.0,1383075.0,1408339.0,1435456.0,1464043.0,1487843.0,1511154.0,1530016.0,1547253.0,0.16,0.06,0.1,1,1,1,0.0199,0.0113
7,San Diego, California,1305906.0,1319592.0,1336776.0,1355320.0,1375831.0,1387323.0,1402089.0,1412621.0,1421917.0,1423851.0,0.09,0.03,0.06,1,1,1,0.0151,0.0014
8,Dallas, Texas,1200350.0,1218282.0,1242115.0,1258835.0,1279098.0,1301329.0,1323916.0,1342479.0,1341802.0,1343573.0,0.12,0.03,0.08,1,1,1,0.0196,-0.0005
9,San Jose, California,954940.0,970369.0,983530.0,1001279.0,1014273.0,1025980.0,1030242.0,1032335.0,1028020.0,1021795.0,0.07,0.0,0.07,1,0,1,0.018,-0.0061
10,Austin, Texas,806164.0,828459.0,854482.0,875003.0,901170.0,921114.0,939447.0,951553.0,962469.0,978908.0,0.21,0.06,0.14,1,1,1,0.0314,0.0115
11,Jacksonville, Florida,823114.0,829609.0,837013.0,842735.0,852494.0,865836.0,880520.0,892025.0,902437.0,911507.0,0.11,0.05,0.05,1,1,1,0.017,0.0068
12,Fort Worth, Texas,748441.0,764142.0,781046.0,796073.0,815057.0,835356.0,856177.0,874809.0,893216.0,909585.0,0.22,0.09,0.12,1,1,1,0.0249,0.0183
13,Columbus, Ohio,790943.0,800607.0,812740.0,827797.0,841673.0,854950.0,866894.0,881694.0,890869.0,898553.0,0.14,0.05,0.08,1,1,1,0.0185,0.0086
14,Charlotte, North Carolina,738444.0,754829.0,773264.0,792047.0,807400.0,825668.0,843117.0,860002.0,872514.0,885708.0,0.2,0.07,0.12,1,1,1,0.0244,0.0145
15,San Francisco, California,805505.0,815650.0,828876.0,839572.0,850750.0,863010.0,871512.0,878040.0,880696.0,881549.0,0.09,0.02,0.07,1,1,1,0.0162,0.001
16,Indianapolis, Indiana,821579.0,827664.0,835499.0,844696.0,850164.0,853714.0,859049.0,863478.0,870960.0,876384.0,0.07,0.03,0.04,1,1,1,0.011,0.0042
17,Seattle, Washington,610630.0,622694.0,635928.0,653588.0,670109.0,687386.0,709631.0,728661.0,742235.0,753675.0,0.23,0.1,0.13,1,1,1,0.0324,0.0154
18,Denver, Colorado,603359.0,620530.0,635163.0,649391.0,664582.0,683285.0,696159.0,704961.0,716265.0,727211.0,0.21,0.06,0.13,1,1,1,0.0285,0.0126
19,Washington, District of Columbia,605226.0,619800.0,634924.0,650581.0,662328.0,675400.0,685815.0,694906.0,701547.0,705749.0,0.17,0.04,0.12,1,1,1,0.0247,0.006
20,Boston, Massachusetts,621048.0,630505.0,642955.0,653002.0,662855.0,670491.0,679848.0,687788.0,691147.0,692600.0,0.12,0.03,0.08,1,1,1,0.0197,0.0021
21,El Paso, Texas,650671.0,664404.0,674941.0,674808.0,677235.0,676242.0,679955.0,681343.0,679875.0,681728.0,0.05,0.01,0.04,1,1,1,0.0211,-0.0022
22,Nashville-Davidson, Tennessee,604589.0,612518.0,625550.0,635999.0,645259.0,655498.0,661765.0,663587.0,667006.0,670820.0,0.11,0.02,0.08,1,1,1,0.0213,0.0028
23,Detroit, Michigan,711131.0,705118.0,700183.0,691868.0,682609.0,679410.0,677143.0,674631.0,672977.0,670031.0,-0.06,-0.01,-0.04,0,0,0,-0.0025,-0.0134
24,Oklahoma City, Oklahoma,582516.0,590947.0,600971.0,612061.0,621639.0,632172.0,639924.0,642822.0,647912.0,655057.0,0.12,0.04,0.09,1,1,1,0.0185,0.0045
25,Portland, Oregon,585429.0,595451.0,604264.0,609890.0,620510.0,631366.0,642720.0,647924.0,650837.0,654741.0,0.12,0.04,0.08,1,1,1,0.018,0.0045
26,Las Vegas, Nevada,584576.0,586606.0,593275.0,599551.0,607976.0,617487.0,626538.0,635262.0,643228.0,651319.0,0.11,0.05,0.06,1,1,1,0.0156,0.0035
27,Memphis, Tennessee,652326.0,655341.0,658786.0,657146.0,654990.0,654106.0,652548.0,650878.0,651104.0,651073.0,0.0,0.0,0.0,1,0,0,0.0053,-0.0033
28,Louisville, Kentucky,596482.0,599920.0,604246.0,610471.0,612634.0,615372.0,617583.0,619728.0,618495.0,617638.0,0.04,0.0,0.03,1,1,1,0.0103,-0.002
29,Baltimore, Maryland,620915.0,620410.0,622895.0,622391.0,623587.0,622522.0,616226.0,610481.0,602443.0,593490.0,-0.04,-0.05,0.0,1,0,0,0.004,-0.0149
30,Milwaukee, Wisconsin,594865.0,597086.0,598569.0,599916.0,600664.0,600477.0,596996.0,593725.0,591375.0,590157.0,-0.01,-0.02,0.01,1,0,0,0.0037,-0.0058
31,Albuquerque, New Mexico,546755.0,552066.0,555002.0,557445.0,557444.0,557937.0,559192.0,559673.0,559629.0,560513.0,0.03,0.0,0.02,1,1,1,0.0097,-0.0001
32,Tucson, Arizona,527160.0,530709.0,531880.0,532945.0,534800.0,535607.0,537528.0,541377.0,544858.0,548073.0,0.04,0.02,0.02,1,1,1,0.0072,0.0015
33,Fresno, California,497769.0,501429.0,505414.0,508880.0,514100.0,518203.0,521426.0,525373.0,528814.0,531576.0,0.07,0.03,0.04,1,1,1,0.0103,0.0052
34,Mesa, Arizona,440993.0,447681.0,456968.0,464803.0,473132.0,481811.0,490695.0,500021.0,507945.0,518012.0,0.17,0.08,0.09,1,1,1,0.0207,0.0152
35,Sacramento, California,467286.0,470902.0,474226.0,478214.0,482762.0,488133.0,494127.0,500777.0,507737.0,513624.0,0.1,0.05,0.04,1,1,1,0.0139,0.0071
36,Atlanta, Georgia,429410.0,437812.0,449016.0,453990.0,461154.0,468303.0,479174.0,491670.0,498183.0,506811.0,0.18,0.08,0.09,1,1,1,0.0261,0.0111
37,Kansas City, Missouri,460697.0,462368.0,464595.0,467213.0,470629.0,475073.0,481670.0,488329.0,492012.0,495327.0,0.08,0.04,0.03,1,1,1,0.0139,0.0036
38,Colorado Springs, Colorado,420685.0,427434.0,432782.0,438146.0,442361.0,449572.0,458714.0,465167.0,472567.0,478221.0,0.14,0.06,0.07,1,1,1,0.0203,0.0096
39,Omaha, Nebraska,459659.0,462101.0,465261.0,468086.0,470423.0,472638.0,475044.0,476271.0,477299.0,478192.0,0.04,0.01,0.03,1,1,1,0.0068,0.0019
