Most_Concentrated_Sector_By_Market_data
Area,State,Description,% of Area's Workforce Dedicated to Sector vs National Avg,% of Area's Workforce Dedicated to Sector
"New Haven-Milford, CT Metro Area",Connecticut,Health Care and Social Assistance,38.8%,22.6%
"Las Vegas-Henderson-Paradise, NV Metro Area",Nevada,Accommodation and Food Services,173.4%,31.3%
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",District of Columbia,"Professional, Scientific, and Technical Services",188.3%,20.6%
"Baltimore-Columbia-Towson, MD Metro Area",Maryland,Health Care and Social Assistance,6.6%,17.4%
"Raleigh, NC Metro Area",North Carolina,Health Care and Social Assistance,-17.0%,13.5%
"Des Moines-West Des Moines, IA Metro Area",Iowa,Finance and Insurance,200.0%,15.2%
"Boston-Cambridge-Newton, MA-NH Metro Area",Massachusetts,Health Care and Social Assistance,12.4%,18.3%
"Pittsburgh, PA Metro Area",Pennsylvania,Health Care and Social Assistance,13.3%,18.5%
"Rochester, NY Metro Area",New York,Health Care and Social Assistance,17.3%,19.1%
"Albuquerque, NM Metro Area",New Mexico,Health Care and Social Assistance,17.3%,19.1%
"Tampa-St. Petersburg-Clearwater, FL Metro Area",Florida,Health Care and Social Assistance,4.3%,17.0%
"Albany-Schenectady-Troy, NY Metro Area",New York,Health Care and Social Assistance,17.6%,19.2%
"Jacksonville, FL Metro Area",Florida,Health Care and Social Assistance,-7.5%,15.1%
"Urban Honolulu, HI Metro Area",Hawaii,Accommodation and Food Services,60.0%,18.3%
"Austin-Round Rock, TX Metro Area",Texas,Accommodation and Food Services,20.3%,13.7%
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",North Carolina,Health Care and Social Assistance,-4.2%,15.6%
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Delaware,Health Care and Social Assistance,18.4%,19.3%
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",California,Health Care and Social Assistance,2.7%,16.7%
"Columbus, OH Metro Area",Ohio,Health Care and Social Assistance,1.9%,16.6%
"Greenville-Anderson-Mauldin, SC Metro Area",South Carolina,Manufacturing,73.5%,15.8%
"New Orleans-Metairie, LA Metro Area",Louisiana,Accommodation and Food Services,42.4%,16.3%
"Worcester, MA-CT Metro Area",Connecticut,Health Care and Social Assistance,39.1%,22.6%
"San Diego-Carlsbad, CA Metro Area",California,Accommodation and Food Services,23.6%,14.1%
"Dayton, OH Metro Area",Ohio,Health Care and Social Assistance,23.5%,20.1%
"Atlanta-Sandy Springs-Roswell, GA Metro Area",Georgia,Health Care and Social Assistance,-27.6%,11.8%
"Madison, WI Metro Area",Wisconsin,Health Care and Social Assistance,6.1%,17.3%
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",New York,Health Care and Social Assistance,14.3%,18.6%
